OTU,Sample,Abundance,bases,avgLength,size_MB,Experiment,LibraryName,Model,SRAStudy,BioProject,sample_Sample,BioSample,SampleName,Description,Kingdom,Phylum,Class,Order,Family,Genus,Species
JQ212821.1.1360,SRR21726047,0.962658805,352120514,500,118,SRX17721934,40_16S,Illumina MiSeq,SRP346777,PRJNA781615,SRS15251958,SAMN31036832,40_16S,Green turtle juvenile esophageal swab,Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,uncultured,uncultured_bacterium
HM016087.1.1482,SRR21726045,0.89107672,293530160,484,103,SRX17721936,42_16S,Illumina MiSeq,SRP346777,PRJNA781615,SRS15251960,SAMN31036834,42_16S,Green turtle hatchling stomach sample,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella_algae
JQ212821.1.1360,SRR21726018,0.842016589,252048132,500,102,SRX17721963,36_16S,Illumina MiSeq,SRP346777,PRJNA781615,SRS15251987,SAMN31036828,36_16S,Green turtle juvenile esophageal swab,Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,uncultured,uncultured_bacterium
JQ212821.1.1360,SRR21726022,0.818288532,341290243,500,113,SRX17721959,32_16S,Illumina MiSeq,SRP346777,PRJNA781615,SRS15251983,SAMN31036824,32_16S,Green turtle juvenile esophageal swab,Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,uncultured,uncultured_bacterium
CXYW01000009.360.1734,SRR21726044,0.786601286,355385245,500,127,SRX17721937,43_16S,Illumina MiSeq,SRP346777,PRJNA781615,SRS15251961,SAMN31036835,43_16S,Green turtle hatchling intestine sample,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Epulopiscium,Lachnospiraceae_bacterium
AB272318.1.1241,SRR21726051,0.758896153,345760543,484,123,SRX17721930,28_16S,Illumina MiSeq,SRP346777,PRJNA781615,SRS15251954,SAMN31036820,28_16S,Green turtle juvenile cloacal swab,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Chitinophaga,Flexibacter_sp.
KC260589.1.1366,SRR21726046,0.511286963,264019405,500,87,SRX17721935,41_16S,Illumina MiSeq,SRP346777,PRJNA781615,SRS15251959,SAMN31036833,41_16S,Green turtle juvenile cloacal swab,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinifilaceae,Marinifilum,uncultured_bacterium
JQ212821.1.1360,SRR21726021,0.510666981,345478090,500,115,SRX17721960,33_16S,Illumina MiSeq,SRP346777,PRJNA781615,SRS15251984,SAMN31036825,33_16S,Green turtle juvenile esophageal swab,Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,uncultured,uncultured_bacterium
JQ212821.1.1360,SRR21726048,0.49443136,339853596,500,116,SRX17721933,39_16S,Illumina MiSeq,SRP346777,PRJNA781615,SRS15251957,SAMN31036831,39_16S,Green turtle juvenile esophageal swab,Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,uncultured,uncultured_bacterium
LN613035.1.1501,SRR21726020,0.479401362,305472186,499,108,SRX17721961,34_16S,Illumina MiSeq,SRP346777,PRJNA781615,SRS15251985,SAMN31036826,34_16S,Green turtle juvenile cloacal swab,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,uncultured,uncultured_rumen
JQ212821.1.1360,SRR21726050,0.472808263,328771667,500,110,SRX17721931,37_16S,Illumina MiSeq,SRP346777,PRJNA781615,SRS15251955,SAMN31036829,37_16S,Green turtle juvenile esophageal swab,Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,uncultured,uncultured_bacterium
JQ212821.1.1360,SRR21726049,0.429158038,398448802,499,134,SRX17721932,38_16S,Illumina MiSeq,SRP346777,PRJNA781615,SRS15251956,SAMN31036830,38_16S,Green turtle juvenile cloacal swab,Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,uncultured,uncultured_bacterium
JQ212821.1.1360,SRR21726052,0.422673741,412561192,500,137,SRX17721929,27_16S,Illumina MiSeq,SRP346777,PRJNA781615,SRS15251953,SAMN31036819,27_16S,Green turtle juvenile esophageal swab,Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,uncultured,uncultured_bacterium
DQ809514.1.1292,SRR21726040,0.387901848,377927131,499,134,SRX17721941,29_16S,Illumina MiSeq,SRP346777,PRJNA781615,SRS15251965,SAMN31036821,29_16S,Green turtle juvenile cloacal swab,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,uncultured_bacterium
JQ212821.1.1360,SRR21726019,0.363287858,338063986,499,119,SRX17721962,35_16S,Illumina MiSeq,SRP346777,PRJNA781615,SRS15251986,SAMN31036827,35_16S,Green turtle juvenile cloacal swab,Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,uncultured,uncultured_bacterium
JQ211758.1.1348,SRR21726029,0.361636138,383977850,499,131,SRX17721952,30_16S,Illumina MiSeq,SRP346777,PRJNA781615,SRS15251976,SAMN31036822,30_16S,Green turtle hatchling stomach sample,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,uncultured_bacterium
